avg_fit,avg_gene,top_fit,top_gene,elite_fit,elite_gene
1,[1. 1. 1. 1.],1,[1. 1. 1. 1.],1,[1. 1. 1. 1.]
1.4114679780002337,[0.09984185 0.12062746 0.03380303 0.07940122],3.3915083000058077,[-0.84784345 -0.13414936 -0.3242393   0.71165028],2.8547334640007467,[-0.63469101 -0.27291026  0.12656192  0.20746701]
1.8658047216004348,[-0.25663497 -0.28554061 -0.06011308  0.65073173],5.512116420004167,[-0.85649657 -0.43675323 -0.04682595  0.35289769],4.672282716000917,[-0.92086357  0.04257856 -0.12529515  0.76840071]
2.545825390400539,[-0.61798232 -0.5640533   0.26036995 -0.13817486],4.774457800004166,[-1.38384967  0.22291782 -0.14754535  0.66578302],4.169131144000567,[-0.99664945  0.17249079 -0.14393295  0.55138182]
2.9911666683995874,[-0.70525939 -0.23920104  0.17795907  0.23029544],5.034122519998346,[-0.94560789  0.15013353 -0.19525581  0.76247289],4.453868775999872,[-1.00078236  0.16735658 -0.16158403  0.9278632 ]
3.2021534664006315,[-0.98226585  0.15533557 -0.1225474   0.8231544 ],6.064232359998277,[-1.18832497  0.20304391 -0.14965642  0.89260829],5.201878419999848,[-1.02029011  0.14121834 -0.12701249  0.76917451]
3.1660897184000936,[-0.90378561  0.17224693 -0.14435458  0.68537492],5.675029820000054,[-0.88458034  0.10141776 -0.10670391  0.93087009],4.616676588000846,[-0.98022441  0.1204258  -0.13214483  0.63332933]
3.4929729863994874,[-1.00083547  0.12089278 -0.19577579  0.75145183],7.1948210799979275,[-1.31795083  0.08904312 -0.17618005  0.527987  ],6.218331723997253,[-1.09104045  0.10332701 -0.15724822  0.7475757 ]
3.5457623155998306,[-1.10336064  0.09241429 -0.1716109   0.55468068],6.6111269799963335,[-1.23902496  0.09618687 -0.16262625  1.0270298 ],5.202999063997413,[-1.2755716   0.06419097 -0.18854032  0.71865685]
3.5855113960002787,[-1.06750509  0.07839305 -0.19835167  0.50028077],5.625675279999268,[-1.20071743  0.07369418 -0.16721168  0.55938114],5.268516499999678,[-1.16847979  0.09190812 -0.17497758  0.52286657]
3.5293048936005222,[-1.16753419  0.12270374 -0.17635439  0.67175275],5.908838179998566,[-0.98128486  0.09629448 -0.19776839  0.65200896],5.610480503998114,[-1.10628407  0.10341201 -0.17828559  0.89481753]
3.3643534383997324,[-1.02003855  0.10640023 -0.15970346  1.02967223],6.726089060003869,[-1.44936437  0.08242088 -0.20647183  1.54316373],5.217013696001377,[-1.11043859  0.11007238 -0.16909323  1.11863188]
3.287885999199527,[-0.82429202  0.10973772 -0.14231435  0.75970928],5.531607300002361,[-0.95385803  0.10179847 -0.1334042   0.41698045],5.209351628000731,[-1.07440356  0.11562157 -0.14497901  0.69316428]
3.883196036401088,[-1.01556597  0.0936171  -0.13312544  0.52531731],6.690480299998308,[-1.11599402  0.09714102 -0.16319766  0.46471271],6.0247076719999315,[-1.02430036  0.07531152 -0.13295289  0.51198169]
3.743380725600058,[-0.74968455  0.07018038 -0.13272973  0.45126803],7.727926879998995,[-0.80683186  0.10250523 -0.11103857  0.57207718],6.047123731998726,[-0.81182987  0.08608535 -0.14117675  0.47596321]
3.4496388704008423,[-0.75170605  0.0732019  -0.13116575  0.51215475],7.000496940000448,[-0.69600938  0.02471227 -0.08787772  0.57484147],5.584288640000159,[-0.76287065  0.05070262 -0.10790492  0.55299308]
