avg_fit,avg_gene,top_fit,top_gene,elite_fit,elite_gene
1,[1. 1. 1. 1.],1,[1. 1. 1. 1.],1,[1. 1. 1. 1.]
4.946600275599341,[-0.80131854  0.10124233 -0.1091804   0.57614401],12.050921379995998,[-0.81058831  0.10256203 -0.15894681  0.64168448],9.612929575997986,[-0.86712988  0.09648402 -0.11518597  0.55879308]
5.7813085264000685,[-0.91602577  0.08586943 -0.11336962  0.55767534],12.534436739992817,[-0.9009167   0.0680801  -0.1289989   0.29472614],10.336853591997059,[-0.93193989  0.0913907  -0.10647208  0.56383597]
5.594568688001076,[-0.97344934  0.11106175 -0.10029927  0.48827027],14.824290840001776,[-0.95642234  0.10025528 -0.11230197  0.36831254],10.544354008000228,[-0.95446162  0.10713874 -0.09631038  0.51567239]
5.344769730000756,[-1.06247021  0.09491548 -0.09530826  0.60499659],12.43282333999523,[-0.8636202   0.07296376 -0.10716917  0.85043534],10.13782135999878,[-0.77086816  0.06506014 -0.09676273  0.60723131]
5.530119840800528,[-0.98621252  0.08967146 -0.12485419  0.54896068],15.773093820008217,[-0.90175741  0.05795638 -0.13642667  0.61870418],10.811703806000878,[-0.94582702  0.08623326 -0.12765354  0.58223749]
5.404880382399133,[-1.19348097  0.0956397  -0.11283049  0.5289129 ],15.071972399990774,[-0.86019218  0.10166236 -0.09578083  0.19867569],10.354498013998382,[-1.0289077   0.09973488 -0.11747387  0.52737449]
5.278275041600341,[-1.08295557  0.09821726 -0.0991435   0.35571928],15.501263099996141,[-1.00841739  0.10137109 -0.11393033  0.21650243],11.26651917599782,[-1.01467627  0.09747578 -0.10300007  0.32604247]
5.223424444799544,[-1.11944511  0.11298164 -0.10923431  0.34952999],13.769200299994555,[-0.70130076  0.08661941 -0.09737841  0.36030957],10.304159103999845,[-0.9628355   0.10002556 -0.09985585  0.32233539]
5.852852796999856,[-1.0407029   0.10697904 -0.11316343  0.31952354],14.952144320000661,[-1.01929445  0.11376481 -0.13535655  0.37073352],11.711462304000161,[-1.02100041  0.10553474 -0.12391484  0.31665219]
5.392415497400565,[-0.9910185   0.1012062  -0.09484354  0.33403096],12.594866759999423,[-0.73438926  0.08750354 -0.08576937  0.3289795 ],10.664290694002993,[-0.85566412  0.09181717 -0.09277966  0.31644739]
5.279591813399225,[-1.04428395  0.09409572 -0.11728961  0.367151  ],14.058046120009385,[-1.56690907  0.13925353 -0.16156066  0.22211207],10.788120698000421,[-1.01144331  0.09777378 -0.13023873  0.3521503 ]
5.427068418200943,[-1.03818531  0.08421789 -0.14944295  0.36859875],15.358254719997058,[-1.26724316  0.04345197 -0.16041326  0.43185749],10.688511265998823,[-1.12543752  0.07142516 -0.14377984  0.38996129]
5.574499289800181,[-1.15869469  0.10861939 -0.15370797  0.29640041],10.962090999993961,[-1.47666399  0.06311793 -0.14952191  0.29399735],10.141706902000587,[-1.24458074  0.08021807 -0.15998964  0.29425508]
5.6280542227991965,[-1.18584479  0.08699096 -0.15960442  0.24577274],15.50563276000321,[-1.32116851  0.05407831 -0.18756634  0.38730947],10.945027906000613,[-1.27729678  0.07503988 -0.14847735  0.23692881]
5.996432278800293,[-1.27953851  0.07032391 -0.15332547  0.2825349 ],12.663580899994122,[-1.41058949  0.08057563 -0.17808391  0.21993131],10.949960675999755,[-1.1695167   0.07312832 -0.15354573  0.29768283]
5.989299197199871,[-1.22049077  0.06312072 -0.16490139  0.25645883],17.20238881999976,[-1.36853168  0.06351055 -0.22501999  0.26132015],11.758053879999204,[-1.24243602  0.06616655 -0.16210206  0.23956378]
5.636532544801068,[-1.16815521  0.0774821  -0.19805109  0.2275789 ],13.718391840002733,[-1.39894273  0.09778002 -0.18209227  0.12705131],10.944188617999895,[-1.45252924  0.07831946 -0.19253347  0.2022966 ]
5.657464972200857,[-1.36772179  0.09747098 -0.16437462  0.25529506],13.480268319998867,[-1.09052982  0.05885973 -0.15613195  0.20654291],11.183459423999885,[-1.34772509  0.08030738 -0.18028917  0.20153135]
5.906707551999948,[-1.4846043   0.09687513 -0.1850822   0.24539524],11.104140160005773,[-1.19175736  0.09718865 -0.16451483  0.17593205],9.91979500000016,[-1.5778767   0.09956057 -0.19914578  0.26510088]
5.542352644399971,[-1.57109749  0.08042328 -0.17281287  0.22121901],14.147200279997197,[-2.07961827  0.10880802 -0.21549845  0.40173067],9.967056881998433,[-1.75061662  0.08498898 -0.17180533  0.27431348]
